Manager of the Esenler branch is Derem Acar.
Hanbey Sahiner is promoted from Cashier to Cook.
Aba Ceylan is promoted from Cashier to Cook.
Baha Kilicaslan is promoted from Cashier to Cook.
Manager of the Karabaglar branch is Daime Ozdemir.
Elmira Aslan is promoted from Cashier to Cook.
Manager of the Zeytinburnu branch is Ebed Kucuk.
Manager of the Menemen branch is Ilaydin Erturk.
Cilvekar Sari is promoted from Cashier to Cook.
Fariha Demirci is promoted from Cashier to Cook.
Duman Senol is promoted from Cashier to Cook.
Havva Taskin is promoted from Cashier to Cook.
Abbas Buyuk is promoted from Cashier to Cook.
Farika Mert is promoted from Cashier to Cook.
Melike Gunes is promoted from Cashier to Cook.
Derin Cengiz is promoted from Cashier to Cook.
Abgun Ozen is promoted from Cashier to Cook.
Fuzuli Korkmaz is promoted from Cashier to Cook.
Ferah Aslan is promoted from Cashier to Cook.
Fazıl Ozdemir is promoted from Cashier to Cook.
Evin Sahin is promoted from Cashier to Cook.
Ayvaz Alkan is promoted from Cashier to Cook.
Ikan Aydogan is promoted from Cashier to Cook.
Hulusi Koc is promoted from Cashier to Cook.
Iraz Kocak is promoted from Cashier to Cook.
Gelenay Mengi is promoted from Cashier to Cook.
Abdurrahman Ozen is promoted from Cashier to Cook.
Kısmet Er is promoted from Cashier to Cook.
Makber Aksu is promoted from Cashier to Cook.
Kezban Tekin is promoted from Cashier to Cook.
Fikret Cengiz is promoted from Cashier to Cook.
Abuşka Korkmaz is promoted from Cashier to Cook.
Baharnaz Seker is promoted from Cashier to Cook.
Harika Kuru is promoted from Cashier to Cook.
Eren Aksu is promoted from Cashier to Cook.
Manager of the Arapgir branch is Dilbirin Aydin.
Manager of the Yazihan branch is Hamza Karahan.
Gazire Yilmaz is promoted from Cashier to Cook.
Demirezen Yilmazer is promoted from Cashier to Cook.
Dayahatun Aslan is promoted from Cashier to Cook.
Karsu Ozdemir is promoted from Cashier to Cook.
Gezgin Aydogan is promoted from Cashier to Cook.
Leyal Korkmaz is promoted from Cashier to Cook.
Manager of the Genc branch is Ece Guler.
Medar Yuksel is promoted from Cashier to Cook.
Cavlan Guler is promoted from Cashier to Cook.
Edhem Aksoy is promoted from Cashier to Cook.
Erkinay Yavuz is promoted from Cashier to Cook.
Hakgüzar Gunay is promoted from Cashier to Cook.
Manager of the Gaziemir branch is Ecevit Ozturk.
Hacı Toprak is promoted from Cashier to Cook.
Manager of the Cesme branch is Dehan Acar.
Eser Yilmaz is promoted from Cashier to Cook.
Manager of the Avcilar branch is Fadime Aydogan.
Macide Kara is promoted from Cashier to Cook.
Halas Balta is promoted from Cashier to Cook.
Balin Yucel is promoted from Cashier to Cook.
Bakanay Aslan is promoted from Cashier to Cook.
Ilkcan Ipek is promoted from Cashier to Cook.
Derince Kocaman is promoted from Cashier to Cook.
Basri Aslan is promoted from Cashier to Cook.
Canperver Kocaman is promoted from Cashier to Cook.
Fatih Kara is promoted from Cashier to Cook.
Medar Sahiner is promoted from Cashier to Cook.
Fırat Sahiner is promoted from Cashier to Cook.
Hediye Bayrak is promoted from Cashier to Cook.
Azad Genc is promoted from Cashier to Cook.
Aysel Seker is promoted from Cashier to Cook.
Lemide Mengi is promoted from Cashier to Cook.
Kayra Yigit is promoted from Cashier to Cook.
Jefi Dagdelen is promoted from Cashier to Cook.
Hizir Ucar is promoted from Cashier to Cook.
Baran Polat is promoted from Cashier to Cook.
Bagatur Tekin is promoted from Cashier to Cook.
Aytunç Karakas is promoted from Cashier to Cook.
Dileda Seker is promoted from Cashier to Cook.
Ceydasu Kuru is promoted from Cashier to Cook.
Hanedan Acar is promoted from Cashier to Cook.
Hincal Yildiran is promoted from Cashier to Cook.
Furkan Akpinar is promoted from Cashier to Cook.
Bala Buyuk is promoted from Cashier to Cook.
Ecegül Cicek is promoted from Cashier to Cook.
Girgin Toker is promoted from Cashier to Cook.
Deli Tasdemir is promoted from Cashier to Cook.
Gelincik Yuksel is promoted from Cashier to Cook.
Gazale Aksu is promoted from Cashier to Cook.
Total bonuses for the Torbali branch this month are: 1704
Hayat Seker is promoted from Cashier to Cook.
Hamit Ay is promoted from Cashier to Cook.
Falaz Demirci is promoted from Cashier to Cook.
Dileda Tuncer is promoted from Cashier to Cook.
Abendam Ekinci is promoted from Cashier to Cook.
Ayfer Taskin is promoted from Cashier to Cook.
Dirok Yuksel is promoted from Cashier to Cook.
Ferruh Polat is promoted from Cashier to Cook.
Gokalp Uzun is promoted from Cashier to Cook.
Itri Guler is promoted from Cashier to Cook.
Gedik Yilmaz is promoted from Cashier to Cook.
Katmer Yigit is promoted from Cashier to Cook.
Canece Demirci is promoted from Cashier to Cook.
Total bonuses for the Pursaklar branch are: 1700
Başar Aslan is promoted from Cashier to Cook.
Filizer Genc is promoted from Cashier to Cook.
Fatih Durmaz is promoted from Cashier to Cook.
Dalsar Cengiz is promoted from Cashier to Cook.
Hacı Ay is promoted from Cashier to Cook.
Feridun Yildirim is promoted from Cashier to Cook.
Manager of the Karkamis branch is Ayvaz Akpinar.
Acarbey Toker is promoted from Cashier to Cook.
Demiralp Uzun is promoted from Cashier to Cook.
Hayriye Aydemir is promoted from Cashier to Cook.
Faraziye Sarac is promoted from Cashier to Cook.
Hadra Kocaman is promoted from Cashier to Cook.
Manager of the Gursu branch is Felek Erkan.
Furkan Yilmaz is promoted from Cashier to Cook.
Ilgaz Toprak is promoted from Cashier to Cook.
Erdoğan Aksu is promoted from Cashier to Cook.
Dalan Temel is promoted from Cashier to Cook.
Destan Dag is promoted from Cashier to Cook.
Bahtiser Yigit is promoted from Cashier to Cook.
Ecehan Kilicaslan is promoted from Cashier to Cook.
Girin Gurbuz is promoted from Cashier to Cook.
Fadile Kocaman is promoted from Cashier to Cook.
Efdal Aslan is promoted from Cashier to Cook.
Melike Cebeci is promoted from Cashier to Cook.
Asuman Kucuk is promoted from Cashier to Cook.
Manager of the Sehitkamil branch is Farika Oz.
Mediha Kocak is promoted from Cashier to Cook.
Laylank Er is promoted from Cashier to Cook.
Fıda Kose is promoted from Cashier to Cook.
Ekin Yilmazer is promoted from Cashier to Cook.
Ilgaz Aktas is promoted from Cashier to Cook.
Lalin Demir is leaving from branch: Konak.
Gokalp Kaya is promoted from Cashier to Cook.
Fahrettin Yildiz is promoted from Cashier to Cook.
Hidayet Ekinci is promoted from Cashier to Cook.
Erdenay Avci is promoted from Cashier to Cook.
Gizer Cetin is promoted from Cashier to Cook.
Barut Aydogan is promoted from Cashier to Cook.
Lerzan Yilmaz is promoted from Cashier to Cook.
Edra Akpinar is promoted from Cashier to Cook.
Delice Uzun is promoted from Cashier to Cook.
Makbule Kilicarslan is promoted from Cashier to Cook.
Haldun Erturk is promoted from Cashier to Cook.
Larissa Seker is promoted from Cashier to Cook.
Manager of the Beypazari branch is Isinkan Senol.
Ilkcan Kocak is promoted from Cashier to Cook.
Lal Yildirim is promoted from Cashier to Cook.
Kevser Aydin is promoted from Cashier to Cook.
Abdulkadir Kose is promoted from Cashier to Cook.
Farika Erdogan is promoted from Cashier to Cook.
Faik Ozen is promoted from Cashier to Cook.
Ilbey Tekin is promoted from Cashier to Cook.
Leyli Cebeci is promoted from Cashier to Cook.
Cankat Cicek is promoted from Cashier to Cook.
Gerçek Aydin is promoted from Cashier to Cook.
Açelya Yilmazer is promoted from Cashier to Cook.
Hamis Karahan is promoted from Cashier to Cook.
Evin Elmas is promoted from Cashier to Cook.
Katun Kocaman is promoted from Cashier to Cook.
Ilgaz Cicek is promoted from Cashier to Cook.
Fahrettin Ozdemir is promoted from Cashier to Cook.
Belemir Kaya is promoted from Cashier to Cook.
Gamze Kara is promoted from Cashier to Cook.
Aytekin Saglam is promoted from Cashier to Cook.
Manager of the Sariyer branch is Fadile Demirci.
Abbase Koc is promoted from Cashier to Cook.
Leyli Dagdelen is promoted from Cashier to Cook.
Manager of the Yenimahalle branch is Erinç Akpinar.
Bakiye Yasar is promoted from Cashier to Cook.
Fırtına Mengi is promoted from Cashier to Cook.
Hadice Arslan is promoted from Cashier to Cook.
Faysal Ozdemir is promoted from Cashier to Cook.
Hiram Acar is promoted from Cashier to Cook.
Hediye Yilmazer is promoted from Cashier to Cook.
Layza Mengi is promoted from Cashier to Cook.
Bahtiyar Acar is promoted from Cashier to Cook.
Fezai Elmas is promoted from Cashier to Cook.
Girgin Karakas is promoted from Cashier to Cook.
Demir Polat is promoted from Cashier to Cook.
Egealp Kilicarslan is promoted from Cashier to Cook.
Gaye Elmas is promoted from Cashier to Cook.
Leylim Nas is promoted from Cashier to Cook.
Ermiye Aksu is promoted from Cashier to Cook.
Hadra Yildiz is promoted from Cashier to Cook.
Canela Avci is promoted from Cashier to Cook.
Gediz Elmas is promoted from Cashier to Cook.
Hadim Ceylan is promoted from Cashier to Cook.
Evgin Toprak is promoted from Cashier to Cook.
Gece Koc is promoted from Cashier to Cook.
Total bonuses for the Araban branch this month are: 1431
Jale Akbas is promoted from Cashier to Cook.
Ecir Kilicarslan is promoted from Cashier to Cook.
Celile Ozdemir is promoted from Cashier to Cook.
Damla Yilmazer is promoted from Cashier to Cook.
Demirezen Celik is promoted from Cashier to Cook.
Damla Aslan is promoted from Cashier to Cook.
Manager of the Baskil branch is Ezgi Yilmazer.
Manager of the Darende branch is Merzuka Ucar.
Balca Tasdemir is promoted from Cashier to Cook.
Ilcan Ceylan is promoted from Cashier to Cook.
Fırtına Yildiran is promoted from Cashier to Cook.
Mefharet Toprak is promoted from Cashier to Cook.
Bahtiyar Taskin is promoted from Cashier to Cook.
Banu Aksu is promoted from Cashier to Cook.
Gencaslan Yildirim is promoted from Cashier to Cook.
Belemir Yavuz is promoted from Cashier to Cook.
Leyli Oz is promoted from Cashier to Cook.
Mahmude Gul is promoted from Cashier to Cook.
Manager of the Karabaglar branch is Daime Ozdemir.
Destecan Cebeci is promoted from Cashier to Cook.
Fakirullah Koc is promoted from Cashier to Cook.
Ayla Koc is promoted from Cashier to Cook.
Manager of the Golbasi branch is Gokberk Karahan.
Hattat Mengi is promoted from Cashier to Cook.
Gevher Gunes is promoted from Cashier to Cook.
Kamelya Gul is promoted from Cashier to Cook.
Gezer Kocak is promoted from Cashier to Cook.
Lİna Gul is promoted from Cashier to Cook.
İdil Yilmaz is promoted from Cashier to Cook.
Merze Kilic is promoted from Cashier to Cook.
Darcan Kocaman is promoted from Cashier to Cook.
Danyal Ay is promoted from Cashier to Cook.
Fermani Cicek is promoted from Cashier to Cook.
Furkan Kucuk is promoted from Cashier to Cook.
Melodi Oz is promoted from Cashier to Cook.
Fadik Demir is promoted from Cashier to Cook.
Mefharet Kilicaslan is promoted from Cashier to Cook.
Lerze Sahin is promoted from Cashier to Cook.
Demirezen Arslan is promoted from Cashier to Cook.
Manager of the Evren branch is Ihya Cetin.
Hanbeğendi Yildiz is promoted from Cashier to Cook.
Gorani Cengiz is promoted from Cashier to Cook.
Havin Karakas is promoted from Cashier to Cook.
Aborkar Aslan is promoted from Cashier to Cook.
Janseli Akpinar is promoted from Cashier to Cook.
Gazi Yucel is promoted from Cashier to Cook.
Gewez Duran is promoted from Cashier to Cook.
Mahiye Seker is promoted from Cashier to Cook.
Gencal Kocaman is promoted from Cashier to Cook.
Abbas Gunes is promoted from Cashier to Cook.
Merzuka Tekin is promoted from Cashier to Cook.
Feyza Ozturk is promoted from Cashier to Cook.
Erksin Karakas is promoted from Cashier to Cook.
Dirok Balta is promoted from Cashier to Cook.
Eğilmez Mengi is promoted from Cashier to Cook.
Bala Ceylan is promoted from Cashier to Cook.
Fezai Aydin is promoted from Cashier to Cook.
Ecmel Aksoy is promoted from Cashier to Cook.
Abdülalim Aslan is promoted from Cashier to Cook.
Ecrin Bayrak is promoted from Cashier to Cook.
Ferda Gul is promoted from Cashier to Cook.
Debernuş Kose is promoted from Cashier to Cook.
Ecebay Kilicaslan is promoted from Cashier to Cook.
Levzi Kocaman is promoted from Cashier to Cook.
Mahsure Tasdemir is promoted from Cashier to Cook.
Gazel Uzun is promoted from Cashier to Cook.
Edahses Akpinar is promoted from Cashier to Cook.
Funda Sari is promoted from Cashier to Cook.
Manager of the Karsel branch is Kevser Genc.
Manager of the Arapgir branch is Dilbirin Aydin.
Girin Kilicaslan is promoted from Cashier to Cook.
İdil Nas is promoted from Cashier to Cook.
Hurkan Dede is promoted from Cashier to Cook.
Dileda Korkmaz is promoted from Cashier to Cook.
Husam Sarac is promoted from Cashier to Cook.
Hanedan Yuksel is promoted from Cashier to Cook.
Fulya Yigit is promoted from Cashier to Cook.
Jinmir Uzun is promoted from Cashier to Cook.
Bartu Toprak is promoted from Cashier to Cook.
Manager of the Cinar branch is Danyal Korkmaz.
Total bonuses for the Kuluncak branch this month are: 1700
Iknat Demir is promoted from Cashier to Cook.
Banu Balta is promoted from Cashier to Cook.
Jengar Cebeci is promoted from Cashier to Cook.
Edebali Celik is promoted from Cashier to Cook.
Ifakat Gurbuz is promoted from Cashier to Cook.
Evgin Gunes is promoted from Cashier to Cook.
Meriç Koc is promoted from Cashier to Cook.
Manager of the Yayladere branch is Dilkeste Duran.
Caneda Mert is promoted from Cashier to Cook.
Manager of the Cermik branch is Canaş Erkan.
Manager of the Karsel branch is Kevser Genc.
Ecehan Ozdemir is promoted from Cashier to Cook.
Elvan Kilicaslan is promoted from Cashier to Cook.
Jale Aksoy is promoted from Cashier to Cook.
Fatih Gunes is promoted from Cashier to Cook.
Lavin Ceylan is promoted from Cashier to Cook.
Furkan Nas is promoted from Cashier to Cook.
Karin Er is promoted from Cashier to Cook.
Cazibe Yildiz is promoted from Cashier to Cook.
Feza Alkan is promoted from Cashier to Cook.
Dildar Mert is promoted from Cashier to Cook.
Macide Aydemir is promoted from Cashier to Cook.
Behin Uzun is promoted from Cashier to Cook.
Dalya Aydin is promoted from Cashier to Cook.
Kamuran Cebeci is promoted from Cashier to Cook.
Mahmude Demirci is promoted from Cashier to Cook.
Kardelen Aksoy is promoted from Cashier to Cook.
Jergar Aydemir is promoted from Cashier to Cook.
Lİla Saglam is promoted from Cashier to Cook.
Handan Aksu is promoted from Cashier to Cook.
Filinta Tekin is promoted from Cashier to Cook.
Haldun Kilic is promoted from Cashier to Cook.
Melike Yasar is promoted from Cashier to Cook.
Germa Yavuz is promoted from Cashier to Cook.
Manager of the Yenimahalle branch is Erinç Akpinar.
Benay Gunes is promoted from Cashier to Cook.
Husam Ay is promoted from Cashier to Cook.
Erinç Temel is promoted from Cashier to Cook.
Ilhami Yuksel is promoted from Cashier to Cook.
Hamra Cicek is promoted from Cashier to Cook.
Total bonuses for the Genc branch are: 1998
Belgi Kucuk is promoted from Cashier to Cook.
Manager of the Gaziemir branch is Ecevit Ozturk.
Farise Yildiz is promoted from Cashier to Cook.
Levin Kaya is promoted from Cashier to Cook.
Canay Nas is promoted from Cashier to Cook.
Faize Ozen is promoted from Cashier to Cook.
Jalenur Aydogan is promoted from Cashier to Cook.
Bahamra Sarac is promoted from Cashier to Cook.
Aygül Avci is promoted from Cashier to Cook.
Kaymak Durmaz is promoted from Cashier to Cook.
Total bonuses for the Darende branch this month are: 3348
Ekin Nas is promoted from Cashier to Cook.
Manager of the Menemen branch is Ilaydin Erturk.
Dilfiruz Kilicaslan is promoted from Cashier to Cook.
Fecri Kose is promoted from Cashier to Cook.
Ferah Guler is promoted from Cashier to Cook.
Belemir Arslan is promoted from Cashier to Cook.
Ecir Cicek is promoted from Cashier to Cook.
Kainat Kocak is promoted from Cashier to Cook.
Manager of the Araban branch is Canel Aydemir.
Manager of the Karakocan branch is Hilal Alp.
Danyal Sarac is promoted from Cashier to Cook.
Aygül Akbas is promoted from Cashier to Cook.
Behçet Demir is promoted from Cashier to Cook.
Madelet Aytac is promoted from Cashier to Cook.
Lamiha Yilmazer is promoted from Cashier to Cook.
Loya Kilicarslan is promoted from Cashier to Cook.
Total bonuses for the Derinkuyu branch this month are: 1450
Abbas Erkan is promoted from Cashier to Cook.
Acarbey Yavuz is promoted from Cashier to Cook.
Demiralp Er is promoted from Cashier to Cook.
Mahire Mengi is promoted from Cashier to Cook.
Itri Duran is promoted from Cashier to Cook.
Heper Gurbuz is promoted from Cashier to Cook.
Ayberk Akpinar is promoted from Cashier to Cook.
Latife Bayrak is promoted from Cashier to Cook.
Irsat Aygun is promoted from Cashier to Cook.
Canperver Senol is promoted from Cashier to Cook.
Manager of the Orhaneli branch is Fadime Aydin.
Bahtiser Kucuk is promoted from Cashier to Cook.
Ayla Mengi is promoted from Cashier to Cook.
Hafız Kaya is promoted from Cashier to Cook.
Hacil Yildirim is promoted from Cashier to Cook.
Gogen Bayrak is promoted from Cashier to Cook.
Elacık Ozen is promoted from Cashier to Cook.
Delice Yildiran is promoted from Cashier to Cook.
Hafize Uzun is promoted from Cashier to Cook.
İlke Ozen is promoted from Cashier to Cook.
Ibrahim Polat is promoted from Cashier to Cook.
Firdevsi Alkan is promoted from Cashier to Cook.
Ayberk Aktas is promoted from Cashier to Cook.
Debernuş Mert is promoted from Cashier to Cook.
Destan Erdogan is promoted from Cashier to Cook.
Fatma Gunes is promoted from Cashier to Cook.
Fitnat Kucuk is promoted from Cashier to Cook.
Candan Aytac is promoted from Cashier to Cook.
Bakiye Yildiz is promoted from Cashier to Cook.
Bediz Yilmazer is promoted from Cashier to Cook.
Bahiye Sarac is promoted from Cashier to Cook.
Ebecen Ucar is promoted from Cashier to Cook.
Gihev Yilmaz is promoted from Cashier to Cook.
Gencay Dag is promoted from Cashier to Cook.
Ikan Durmaz is promoted from Cashier to Cook.
Ferah Sahiner is promoted from Cashier to Cook.
Ira Cicek is promoted from Cashier to Cook.
Manager of the Uskudar branch is Meserret Durmaz.
Balkiz Durmaz is promoted from Cashier to Cook.
Eylem Aksoy is promoted from Cashier to Cook.
Hades Durmaz is promoted from Cashier to Cook.
Dayehatun Erdogan is promoted from Cashier to Cook.
Erdenay Mengi is promoted from Cashier to Cook.
Hulki Ekinci is promoted from Cashier to Cook.
Ebecen Kocaman is promoted from Cashier to Cook.
Karanfil Yigit is promoted from Cashier to Cook.
Bahtiyar Kilicaslan is promoted from Cashier to Cook.
Feyzullah Yavuz is promoted from Cashier to Cook.
Manager of the Merkez branch is Leylifer Aslan.
Bala Yildiz is promoted from Cashier to Cook.
Husamettin Ari is promoted from Cashier to Cook.
Loya Yildiz is promoted from Cashier to Cook.
Hamza Sari is promoted from Cashier to Cook.
Kahya Polat is promoted from Cashier to Cook.
Erna Karakas is promoted from Cashier to Cook.
Hamiyet Aydemir is promoted from Cashier to Cook.
Leyla Cengiz is promoted from Cashier to Cook.
Ejder Akbas is promoted from Cashier to Cook.
Canfeda Gul is promoted from Cashier to Cook.
Fenni Temel is promoted from Cashier to Cook.
Jale Cetin is promoted from Cashier to Cook.
Cilvekar Ipek is promoted from Cashier to Cook.
Emetullah Kocaman is promoted from Cashier to Cook.
Bahir Dede is promoted from Cashier to Cook.
Benan Polat is promoted from Cashier to Cook.
Manager of the Derinkuyu branch is Felek Koc.
Hacı Demirci is promoted from Cashier to Cook.
Gazele Acar is promoted from Cashier to Cook.
Kardelen Aytac is promoted from Cashier to Cook.
Manager of the Kuluncak branch is Felin Dede.
Ecesoy Seker is promoted from Cashier to Cook.
İlkben Seker is promoted from Cashier to Cook.
Felek Taskin is promoted from Cashier to Cook.
Ebrar Yilmaz is promoted from Cashier to Cook.
Ferzin Tuncer is promoted from Cashier to Cook.
Daristan Seker is promoted from Cashier to Cook.
Abdülalim Ipek is promoted from Cashier to Cook.
Karina Senol is promoted from Cashier to Cook.
Erksin Balta is promoted from Cashier to Cook.
Katre Celik is promoted from Cashier to Cook.
Lamiha Alkan is promoted from Cashier to Cook.
Ildem Yilmaz is promoted from Cashier to Cook.
Dalya Demirci is promoted from Cashier to Cook.
Evrensel Yilmaz is promoted from Cashier to Cook.
Farika Guler is promoted from Cashier to Cook.
Edahses Gunes is promoted from Cashier to Cook.
Ildiz Mert is promoted from Cashier to Cook.
Abadın Aksoy is promoted from Cashier to Cook.
Filiz Demir is promoted from Cashier to Cook.
Barbaros Arslan is promoted from Cashier to Cook.
Habil Er is promoted from Cashier to Cook.
Manager of the Yenimahalle branch is Erinç Akpinar.
Melike Aslan is promoted from Cashier to Cook.
Kevser Mert is promoted from Cashier to Cook.
Hafız Yildiran is promoted from Cashier to Cook.
Cazibe Yucel is promoted from Cashier to Cook.
Karaca Balta is promoted from Cashier to Cook.
Ferda Dag is promoted from Cashier to Cook.
Farika Duran is promoted from Cashier to Cook.
Jilda Kara is promoted from Cashier to Cook.
Fatine Avci is promoted from Cashier to Cook.
Ikan Balta is promoted from Cashier to Cook.
Damla Alkan is promoted from Cashier to Cook.
Lavin Ozdemir is promoted from Cashier to Cook.
Halas Uzun is promoted from Cashier to Cook.
Manager of the Genc branch is Ece Guler.
Karin Tuncer is promoted from Cashier to Cook.
Manager of the Konak branch is Gizmen Aksu.
Ihya Kilicarslan is promoted from Cashier to Cook.
Felit Yilmaz is promoted from Cashier to Cook.
Total bonuses for the Solhan branch this month are: 3533
Fecri Nas is promoted from Cashier to Cook.
Karaca Senol is promoted from Cashier to Cook.
Ayla Ay is promoted from Cashier to Cook.
Hamis Seker is promoted from Cashier to Cook.
Evgin Demirci is promoted from Cashier to Cook.
Eceseren Mert is promoted from Cashier to Cook.
Gerçek Toker is promoted from Cashier to Cook.
Fezai Ozdemir is promoted from Cashier to Cook.
Durukan Uzun is promoted from Cashier to Cook.
Felin Yildirim is promoted from Cashier to Cook.
Dalsar Yilmazer is promoted from Cashier to Cook.
Ferhunde Celik is promoted from Cashier to Cook.
Feyzullah Sahin is promoted from Cashier to Cook.
Total bonuses for the Arapgir branch this month are: 2674
Benan Mert is promoted from Cashier to Cook.
Hasret Sahin is promoted from Cashier to Cook.
Cansel Guler is promoted from Cashier to Cook.
Hilmi Karakas is promoted from Cashier to Cook.
Layza Tuncer is promoted from Cashier to Cook.
Ganime Sarac is promoted from Cashier to Cook.
Mahizar Ekinci is promoted from Cashier to Cook.
Maide Yilmaz is promoted from Cashier to Cook.
Jehat Aktas is promoted from Cashier to Cook.
Abat Yilmaz is promoted from Cashier to Cook.
Erna Yigit is promoted from Cashier to Cook.
Felat Ekinci is promoted from Cashier to Cook.
Iras Ozturk is promoted from Cashier to Cook.
Hazal Buyuk is promoted from Cashier to Cook.
Kadriye Aslan is promoted from Cashier to Cook.
Cihanay Ekinci is promoted from Cashier to Cook.
Havin Tekin is promoted from Cashier to Cook.
Total bonuses for the Esenler branch this month are: 3100
Fatmanur Ari is promoted from Cashier to Cook.
Banu Aslan is promoted from Cashier to Cook.
Destan Karahan is promoted from Cashier to Cook.
Ikan Duran is promoted from Cashier to Cook.
Manager of the Sereflikochisar branch is Hincal Toprak.
Karakız Durmaz is promoted from Cashier to Cook.
Manager of the Acigol branch is Fatma Ceylan.
